IDfg,Name,Team,contract_value,war_market_value,surplus_value
25764,Bobby Witt Jr.,kc,"$30,707,070",122.92,92.21
18360,Austin Riley,atl,"$22,000,000",77.6,55.6
22182,Hunter Greene,cin,"$16,333,334",71.83,55.5
19709,Fernando Tatis Jr.,sd,"$25,714,285",72.25,46.54
25878,Corbin Carroll,ari,"$14,625,000",44.39,29.76
25931,Michael Harris II,atl,"$10,000,000",37.59,27.59
20123,Juan Soto,nym,"$51,875,000",76.43,24.56
24064,Ezequiel Tovar,col,"$11,214,285",33.23,22.02
23697,Julio Rodriguez,sea,"$19,912,500",40.68,20.77
16137,Carlos Rodon,nyy,"$27,000,000",46.74,19.74
21032,Emmanuel Clase,cle,"$10,000,000",26.57,16.57
19556,Yordan Alvarez,hou,"$26,833,335",35.84,9.01
23920,Brayan Bello,bos,"$16,166,666",23.12,6.96
17350,Rafael Devers,bos,"$32,818,181",39.58,6.76
20778,Cristopher Sanchez,phi,"$9,500,000",15.74,6.24
13543,Blake Snell,lad,"$36,400,000",40.34,3.94
10954,Jacob deGrom,tex,"$20,000,000",23.12,3.12
19610,Keibert Ruiz,wsh,"$7,375,000",10.46,3.08
19197,Will Smith,lad,"$7,500,000",9.26,1.76
18577,Ke'Bryan Hayes,pit,"$8,000,000",9.0,1.0
14374,Tyler Glasnow,lad,"$30,000,000",30.5,0.5
23550,Aaron Ashby,mil,"$9,000,000",7.87,-1.13
20373,Andres Munoz,sea,"$10,000,000",8.86,-1.14
33826,Yuki Matsui,sd,"$7,000,000",2.95,-4.05
19950,Andres Gimenez,tor,"$23,571,428",17.15,-6.42
19352,Sean Murphy,atl,"$15,000,000",8.51,-6.49
8048,Will Smith,lad,"$7,500,000",0.98,-6.52
33825,Yoshinobu Yamamoto,lad,"$30,166,666",23.12,-7.04
20191,Garrett Whitlock,bos,"$10,500,000",2.95,-7.55
13613,Ketel Marte,ari,"$13,000,000",4.91,-8.09
17995,Logan Webb,sf,"$24,000,000",15.74,-8.26
13624,Corey Seager,tex,"$32,500,000",22.47,-10.03
15640,Aaron Judge,nyy,"$40,000,000",29.78,-10.22
12916,Francisco Lindor,nym,"$33,800,000",23.03,-10.77
13743,Max Fried,nyy,"$27,250,000",15.74,-11.51
18036,Jake Cronenworth,sd,"$12,285,714",0.0,-12.29
14078,Michael Wacha,kc,"$14,000,000",0.0,-14.0
19470,Tommy Edman,lad,"$15,650,000",1.24,-14.41
15986,Willy Adames,sf,"$26,000,000",11.02,-14.98
4949,Giancarlo Stanton,nyy,"$15,000,000",0.0,-15.0
14161,Byron Buxton,min,"$15,142,858",0.0,-15.14
19326,Bryan Reynolds,pit,"$15,250,000",0.0,-15.25
14710,Edwin Diaz,nym,"$17,250,000",1.97,-15.28
13164,Eduardo Rodriguez,ari,"$17,000,000",0.0,-17.0
33829,Shota Imanaga,chc,"$17,000,000",0.0,-17.0
17594,Mitch Keller,pit,"$20,411,500",2.95,-17.46
11609,Willson Contreras,stl,"$17,500,000",0.0,-17.5
13074,Yu Darvish,sd,"$18,000,000",0.0,-18.0
14212,Josh Hader,hou,"$19,000,000",0.98,-18.02
12927,Brandon Nimmo,nym,"$20,250,000",0.0,-20.25
14162,Carlos Correa,min,"$31,333,337",10.85,-20.49
14344,Matt Olson,atl,"$22,000,000",0.0,-22.0
11477,Christian Yelich,mil,"$22,000,000",0.0,-22.0
15689,Luis Castillo,sea,"$25,000,000",2.95,-22.05
16149,Aaron Nola,phi,"$24,571,429",0.0,-24.57
5417,Jose Altuve,hou,"$25,000,000",0.0,-25.0
12564,Trevor Story,bos,"$25,000,000",0.0,-25.0
12533,Marcus Semien,tex,"$25,000,000",0.0,-25.0
16505,Matt Chapman,sf,"$25,166,667",0.0,-25.17
18314,Dansby Swanson,chc,"$25,285,714",0.0,-25.29
11579,Bryce Harper,phi,"$25,384,615",0.0,-25.38
12161,Xander Bogaerts,sd,"$25,454,545",0.0,-25.45
15429,Kris Bryant,col,"$26,000,000",0.0,-26.0
16252,Trea Turner,phi,"$27,272,727",0.0,-27.27
13611,Mookie Betts,lad,"$30,416,667",2.03,-28.38
11493,Manny Machado,sd,"$31,818,182",2.23,-29.59
13125,Gerrit Cole,nyy,"$36,000,000",5.9,-30.1
19755,Shohei Ohtani,lad,"$46,081,476",13.73,-32.35
10155,Mike Trout,laa,"$35,541,667",0.0,-35.54
