Player Name,Team,Year,Status,Payroll,Luxury Tax
Corbin Carroll,ari,2023,,"$1,625,000","$13,875,000"
Corbin Carroll,ari,2024,Pre-Arb,"$3,625,000","$13,875,000"
Corbin Carroll,ari,2025,Pre-Arb,"$5,625,000","$13,875,000"
Corbin Carroll,ari,2026,ARB 1,"$10,625,000","$13,875,000"
Corbin Carroll,ari,2027,ARB 2,"$12,625,000","$13,875,000"
Corbin Carroll,ari,2028,ARB 3,"$14,625,000","$13,875,000"
Corbin Carroll,ari,2029,,"$28,625,000","$13,875,000"
Corbin Carroll,ari,2030,,"$28,625,000","$13,875,000"
Corbin Carroll,ari,2031,Club,"$28,000,000","$13,875,000"
Corbin Carroll,ari,2032,UFA,,
Eduardo Rodriguez,ari,2024,,"$14,000,000","$20,000,000"
Eduardo Rodriguez,ari,2025,,"$20,000,000","$20,000,000"
Eduardo Rodriguez,ari,2026,,"$21,000,000","$20,000,000"
Eduardo Rodriguez,ari,2027,,"$19,000,000","$20,000,000"
Eduardo Rodriguez,ari,2028,Vesting,"$17,000,000","$20,000,000"
Eduardo Rodriguez,ari,2029,UFA,,
Ketel Marte,ari,2023,,"$11,600,000","$4,800,000"
Ketel Marte,ari,2024,,"$13,600,000","$15,200,000"
Ketel Marte,ari,2025,,"$16,600,000","$15,200,000"
Ketel Marte,ari,2026,,"$16,600,000","$15,200,000"
Ketel Marte,ari,2027,,"$14,600,000","$15,200,000"
Ketel Marte,ari,2028,Club,"$13,000,000","$15,200,000"
Ketel Marte,ari,2029,UFA,,
Eugenio Suarez,ari,2018,ARB 1,"$2,535,714","$9,428,571"
Eugenio Suarez,ari,2019,ARB 2,"$7,285,714","$9,428,571"
Eugenio Suarez,ari,2020,ARB 3,"$2,878,307","$9,428,571"
Eugenio Suarez,ari,2021,,"$10,785,714","$9,428,571"
Eugenio Suarez,ari,2022,,"$11,285,714","$9,428,571"
Eugenio Suarez,ari,2023,,"$11,285,714","$9,428,571"
Eugenio Suarez,ari,2024,,"$11,285,716","$13,000,000"
Eugenio Suarez,ari,2025,Club,"$15,000,000","$15,000,000"
Eugenio Suarez,ari,2026,UFA,,
Lourdes Gurriel Jr.,ari,2024,,"$10,000,000","$14,000,000"
Lourdes Gurriel Jr.,ari,2025,,"$14,000,000","$14,000,000"
Lourdes Gurriel Jr.,ari,"PLAYER OPT-OUT:    AVAILABLE 
                                        
                                        2026, 2 YR, $18,000,000 REMAINING",,,
Lourdes Gurriel Jr.,ari,2026,Opt-Out,"$13,000,000","$14,000,000"
Lourdes Gurriel Jr.,ari,2027,Club,"$14,000,000","$14,000,000"
Lourdes Gurriel Jr.,ari,2028,UFA,,
Josh Bell,ari,2023,,"$5,411,310","$5,411,310"
Josh Bell,ari,2024,Player,"$2,250,000","$2,250,000"
Josh Bell,ari,2025,UFA,,
Jordan Montgomery,ari,2024,,"$25,000,000","$25,000,000"
Jordan Montgomery,ari,2025,Cond. Player,"$22,500,000","$25,000,000"
Jordan Montgomery,ari,2026,UFA,,
Merrill Kelly,ari,2023,,"$8,500,000","$9,000,000"
Merrill Kelly,ari,2024,,"$8,500,000","$9,000,000"
Merrill Kelly,ari,2025,Club,"$7,000,000","$7,000,000"
Merrill Kelly,ari,2026,UFA,,
Joc Pederson,ari,2024,,"$9,500,000","$12,500,000"
